M,CdX,Doping Site,?H(Cd-rich),?H(Mod),?H(Te-rich),(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),,Descriptors -->,Period,Group,Site,Delta Ion. Rad.,Delta At. Wt.,Delta Cov. Rad.,Delta Ion. En.,Delta At. Rad.,Delta EA,Delta EN,Delta At. Num.,Delta Val.,# Cd Neighbors,# Te Neighbors,Corrected VBM (eV),Corrected CBM (eV),?H(Cd-rich),?H(Mod),?H(Te-rich)
Li,CdTe,M_Cd,1.305,0.838,0.601,-0.851,-0.558,-0.262,0.052,1.775,2.293,,,2,1,0,-0.19,-105.469,-0.18,-347.5,0.061,59.8,-0.71,-45,-1,0,4,1.171,1.156,1.516,1.048,0.812
Na,CdTe,M_Cd,1.317,1.080,0.989,-0.756,-0.480,-0.187,0.142,1.856,2.316,,,3,1,0,0.07,-89.42023,0.13,-371.9,0.411,52.7,-0.76,-37,-1,0,4,1.331,1.316,1.410,1.173,1.083
K,CdTe,M_Cd,1.892,1.655,1.677,-0.601,-0.277,-0.083,0.253,1.904,2.463,,,4,1,0,0.56,-73.3117,0.62,-448.9,0.861,48.36,-0.87,-29,-1,0,4,1.662,1.647,2.179,1.942,1.965
Rb,CdTe,M_Cd,2.123,1.886,2.041,-0.552,-0.258,0.024,0.354,1.968,2.422,,,5,1,0,0.66,-26.9422,0.75,-464.7,0.991,46.89,-0.87,-11,2,0,4,2.155,2.140,2.563,2.326,2.481
Cs,CdTe,M_Cd,2.392,2.155,2.375,-0.453,-0.234,0.103,0.469,1.972,2.514,,,6,1,0,0.79,20.4954,0.94,-492,1.181,45.49,-0.9,7,-1,0,4,2.000,2.000,3.000,3.000,3.000
Be,CdTe,M_Cd,0.580,0.461,0.342,-0.921,-0.646,-0.322,1.398,1.839,2.223,,,2,2,0,-0.5,-103.39782,-0.51,31.7,-0.369,-240,-0.12,-44,0,0,4,1.533,2.718,0.889,0.770,0.651
Mg,CdTe,M_Cd,0.501,0.124,0.125,-0.815,-0.529,-0.223,1.510,2.072,2.411,,,3,2,0,-0.23,-88.105,-0.05,-130,0.111,-230,-0.38,-36,0,0,4,1.512,2.907,0.490,0.113,0.114
Ca,CdTe,M_Cd,0.806,0.806,0.807,-0.719,-0.461,-0.151,1.611,2.065,2.463,,,4,2,0,0.05,-72.332,0.33,-277.9,0.481,-156,-0.69,-28,0,0,4,1.404,2.995,0.864,0.864,0.865
Sr,CdTe,M_Cd,1.062,1.062,1.063,-0.641,-0.410,-0.105,1.660,2.114,2.523,,,5,2,0,0.31,-24.79,0.5,-318.2,0.661,-168,-0.74,-10,0,0,4,1.494,2.995,1.276,1.276,1.277
Ba,CdTe,M_Cd,1.321,1.321,1.322,-0.586,-0.333,-0.024,1.713,2.169,2.592,,,6,2,0,0.47,24.92,0.57,-364.8,0.731,-52,-0.8,8,0,0,4,1.577,2.897,1.807,1.807,1.808
B,CdTe,M_Cd,3.478,3.004,2.530,-0.975,-0.658,0.891,1.398,1.870,2.241,,,2,13,0,-0.72,-101.599,-0.59,-67.1,-0.509,27,0.35,-43,1,0,4,3.315,3.300,3.794,3.320,2.846
Al,CdTe,M_Cd,0.838,0.776,1.036,-0.862,-0.544,1.142,1.612,2.024,2.466,,,3,13,0,-0.41,-85.42846,-0.23,-290.1,-0.059,45,-0.08,-35,1,0,4,3.562,3.547,1.017,0.954,1.214
Ga,CdTe,M_Cd,0.946,0.857,0.956,-0.831,-0.511,0.955,1.371,1.932,2.291,,,4,13,0,-0.33,-42.687,-0.15,-288.9,-0.079,29,0.12,-17,1,0,4,3.047,3.032,0.846,0.757,0.856
In,CdTe,M_Cd,1.591,0.737,0.934,-0.805,-0.513,1.067,1.589,2.033,2.489,,,5,13,0,-0.15,2.41,0.03,-309.4,0.171,29,0.09,1,1,0,4,3.342,3.327,1.577,0.723,0.920
Tl,CdTe,M_Cd,1.289,1.018,0.815,-0.769,-0.452,0.634,1.165,1.987,2.395,,,6,13,0,0.64,91.973,0.07,-278.4,0.221,30,0.35,33,1,0,4,2.869,2.854,1.270,0.999,0.796
C,CdTe,M_Cd,5.708,5.234,4.760,-0.892,-0.227,0.063,1.385,1.751,2.147,,,2,14,0,-0.79,-100.399,-0.64,218.7,-0.579,122.3,0.86,-42,2,0,4,2.905,3.506,5.973,5.499,5.025
Si,CdTe,M_Cd,2.244,1.770,1.296,-0.834,0.292,0.576,1.594,1.982,2.358,,,3,14,0,-0.69,-84.3245,-0.3,-81.3,-0.169,133.6,0.21,-34,2,0,4,2.928,3.408,2.229,1.755,1.281
Ge,CdTe,M_Cd,1.373,0.899,0.738,-0.758,-0.133,0.251,1.593,2.013,2.383,,,4,14,0,-0.42,-39.8,-0.19,-105.6,-0.119,120,0.32,-16,2,0,4,2.670,3.541,1.371,0.897,0.737
Sn,CdTe,M_Cd,1.169,0.969,0.970,-0.703,0.030,0.481,1.663,2.087,2.472,,,5,14,0,-0.24,6.3,0,-159.1,0.131,121,0.27,2,2,0,4,2.951,3.491,1.276,1.076,1.077
Pb,CdTe,M_Cd,0.848,0.848,0.849,-0.745,-0.338,0.165,1.654,2.088,2.478,,,6,14,0,0.24,94.79,0.06,-152.2,0.261,110,0.64,34,2,0,4,2.677,3.457,0.980,0.980,0.981
